RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31
6181,0,New York,city,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,2822.6517713714625,2840.3371554603973,2853.9266487034247,2869.289037531488,2876.16347618404,2883.780574013251,2889.3108572371366,2897.88619803416,2908.232573932416,2917.8164263753706,2925.0088721380753,2929.9783767860113,2931.2818921370877,2933.4910267303476,2932.861742693877,2934.271078507972,2934.7048210475386,2937.3832272992004,2942.3972165607915,2945.1706844342866,2948.4744573773696,2953.161868609792,2960.0031460413625,2958.884933106653,2963.0337030316755,2961.001091966276,2967.29152781212,2964.892185938814,2971.0611746689315,2974.5856008608735,2977.2270031222274,2977.3437695373495,2975.3389641772433,2971.432075371566,2969.753061638029,2972.835532520884,2980.179902835477,2986.5640172027183,2992.9924258128967,3000.9845778288463,3006.578640138529,3010.893205042503,3016.000369355646,3023.4204580786813,3032.4933058254364,3038.0546429408223,3046.394201096716,3053.6548287553846,3059.9731937168544,3065.64329098724,3070.4829871683637,3078.481110784656,3085.2945273017735,3094.5765891153087,3104.012371547434,3113.897275752461,3124.081298150488,3138.3066062523153,3149.757527382993,3162.1694060671766,3173.132532826307,3187.2490743302783,3177.1302259234744,,,,,,,2795.180124102471,2773.920734619982,2767.9935125817483,2765.5845626536316,2771.1176386675556,2787.9819773720965,2817.432472493444,2859.29021060082,2913.612446203397,2981.9436541200066,3057.8461801174453,3139.0930384585995,3206.2676794034073,3275.3617914349998,3328.212022443706,3376.697716186309,3414.4102968235334,3449.0008785094287,3480.796980310663,3513.170029427975,3546.1557521912523,3572.506920205402,3593.595874437338,3610.9610919282723,3629.1088595524843,3635.667431643446,3647.0945966155973,3660.4567426751555,3676.0400469843353,3688.6484588009125,3699.287512319766,3704.0757756178923,3701.2712057430294,3693.215523675295
12447,1,Los Angeles,city,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,1948.2413421275535,1959.7987225544716,1971.091279204323,1981.655402932806,1998.1613865612846,2009.0516248978709,2025.6222255118298,2037.0371365250035,2056.4123557567345,2070.219815769843,2084.8729383810482,2096.2541575853884,2107.4058812130047,2122.4292294374554,2130.304773821542,2139.0280290959295,2145.8786444816633,2161.906080808567,2171.3849962200557,2175.336847914317,2177.7648644466212,2185.9269966309125,2194.1293615611785,2202.1401781300942,2221.4576485790503,2235.5335403592985,2259.9355465272515,2266.6690628686874,2278.432298316443,2283.019524598356,2293.468997818103,2304.743856292956,2313.1733652478297,2324.803746954313,2336.491496390251,2348.1104375509203,2353.1825259270154,2364.101814302597,2367.440006525957,2379.2063578386037,2384.3853229415304,2396.753212127893,2406.63838826596,2420.2391556486446,2432.9479524558346,2442.3423140862737,2450.5434242470037,2459.2199043308938,2466.354291298529,2468.8625105953497,2475.242003328788,2483.639452842788,2494.5938538728196,2501.395500895279,2508.0609325892515,2512.4036775411982,2518.5470596415093,2524.22929221821,2530.4367972141727,2536.1968339977257,2543.7150785826457,2552.6210748883464,2542.977113892291,2530.5900933831304,2512.2802420087555,2495.623066613233,2481.180114835488,2466.44614392632,2454.9436586991474,2453.080050193589,2456.502065234388,2457.5715091209345,2457.469557177874,2456.8681242582657,2465.812432497097,2477.4401235743635,2498.1958931185695,2524.722261330299,2560.5284025527994,2602.631512533159,2639.5568509759773,2673.3660914324173,2700.8639456453157,2729.828193414463,2760.11186046377,2784.8760476883895,2806.110682402313,2825.202091711946,2851.470053827123,2870.9533470117867,2886.369399658757,2891.4105457075893,2899.2472583263225,2904.757087822735,2911.829734860095,2918.057016602595,2922.805298829709,2930.923613985541,2937.166224465263,2943.5884464702895,2938.673697827694,2933.8951960100844,2925.013006927238
39051,2,Houston,city,TX,TX,"Houston-The Woodlands-Sugar Land, TX",Harris County,1271.1821607456895,1274.6682630415596,1276.7149085439967,1277.2483564956053,1277.68853977734,1282.3588931536326,1285.4162750056719,1289.8597418052427,1287.9566907752683,1291.1705147435962,1295.3248025816893,1300.3238256804893,1300.5715327462428,1296.4915721413388,1297.1172060825156,1296.478436077012,1294.598694053212,1291.8160796131133,1291.2654652093106,1292.1374834107105,1289.901976483132,1283.6873538269592,1274.9455838061117,1268.1895307051263,1275.8151997217615,1287.4028624265632,1299.611891614078,1298.1910670078987,1301.1059044573412,1299.191999753718,1301.4775012743953,1300.1960546479972,1312.117219536277,1325.4803556390298,1340.9257912540588,1353.1916235280542,1353.9230167247656,1357.6923570172896,1351.6684789393264,1356.932643054153,1353.9916222257045,1357.794403643031,1358.5027104694252,1361.2979008970503,1361.5458637524575,1362.2283727404897,1365.6775422137814,1364.7474575324293,1365.811453891809,1360.1594102141926,1364.5074539831119,1367.2958053730179,1374.415236091784,1378.720048751176,1382.91524171339,1386.90328151836,1387.144335216954,1387.2164323909014,1384.9520335050877,1387.5039710353535,1391.5363396130567,1398.7381960097678,1406.8166947218822,1400.7769445698054,1388.2051813598239,1373.9353241098408,1371.260946794829,1371.9643454819602,1374.7617199885674,1379.272473331788,1384.83339289324,1386.1405359621413,1385.2868192216463,1380.5313923510957,1384.6259478532359,1396.3648695891632,1416.1269609060566,1439.7047449820209,1461.0382223850365,1480.8409266964948,1497.9392689337253,1511.2727835373416,1520.5060486307962,1528.3543580761373,1536.988897887503,1547.5509913847347,1556.3159372674936,1564.536838219864,1570.310358971332,1575.5971366057227,1579.3081990638868,1579.040669939762,1580.8345620353903,1584.4693888186346,1591.1428307027174,1599.5645785878494,1608.2116693220692,1616.0439437040027,1621.102095162015,1624.224635594662,1625.8167947679713,1626.102861966376,1626.2554192145356
17426,3,Chicago,city,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1600.6716995297318,1602.1789467100252,1607.0951480736264,1612.8092331621708,1619.0321722302212,1621.2528725149025,1625.339339630359,1630.1714092408406,1635.2199492418356,1642.3320946476156,1649.9299730952773,1656.1486253388146,1661.6558877956877,1662.566681788217,1664.6934950881437,1664.832606385281,1667.097670450341,1672.7355419318797,1679.7689768039133,1687.8191887586825,1691.5165084346797,1690.690471817305,1684.708586240635,1678.7773878013415,1682.736277558198,1693.524828230686,1706.192840545321,1710.3182817847712,1713.5466099738796,1713.186889316988,1713.7503537949592,1711.5676664194204,1715.1417434072437,1718.4797708967706,1724.3286931421387,1730.023416523516,1732.0389498336535,1734.9917507061668,1733.5012509651533,1736.7793312311594,1739.9878336782979,1745.4316427935753,1748.6602908364005,1748.6748827949662,1747.5901700806962,1749.703250951221,1755.9579658438793,1764.61277937859,1769.0296712548836,1771.6016219135179,1774.9035989946517,1779.144820260665,1783.5302173907407,1787.3910635785228,1792.3354369036729,1800.9484074700677,1808.5671036990357,1814.750023129754,1817.5907188153453,1818.7778740082438,1823.1970017858246,1827.4734233574534,1831.5624803410499,1816.6894281495122,1801.5326055863527,1789.1489330347297,1782.877128043387,1775.0653851605111,1764.7922088022692,1749.6693849986732,1738.8899251066246,1732.0080435568352,1725.5817229620852,1727.7140648405266,1738.7407280966272,1763.2363749603808,1785.3479593496302,1804.8974646794845,1819.808305572247,1836.8142966594587,1852.4462313783679,1869.7647299535604,1884.7732519981503,1901.8120478943563,1918.6833985604205,1933.8076028439455,1947.2100298513988,1958.5577182306051,1968.5237383620347,1977.0076296957343,1989.2451929686815,1999.7185639013387,2013.0695558525488,2027.7678821095885,2042.907113158249,2055.159040290364,2066.5294591034635,2075.51555013069,2081.769356607891,2085.2895948075407,2091.5047392569386,2099.842227250269,2106.287234315209
6915,4,San Antonio,city,TX,TX,"San Antonio-New Braunfels, TX",Bexar County,1059.0222443560435,1062.0071879778643,1066.0276598211801,1070.295909214931,1075.0389106913567,1079.4619112564908,1081.319434303102,1081.6958320020012,1085.3695659819102,1094.2675798624182,1100.6564757625392,1104.69336695948,1105.074608674118,1106.7075977050902,1110.224187229458,1113.7883467851423,1117.3184069305175,1116.9016406094206,1119.8127240061278,1123.554506987749,1128.0805444304488,1127.96126272806,1130.1028622677536,1133.6834174532328,1142.735604536529,1147.8725017322815,1151.6891611611543,1152.3855064219424,1153.9841399661768,1159.53587607503,1161.7895363871494,1161.7543583764184,1160.7616483533916,1161.5485788541596,1164.5135808805987,1168.6315621789552,1170.0670303301301,1172.2172980908322,1173.8602117629998,1177.9374990781466,1181.8885273550147,1185.3758884081349,1190.4242514964171,1194.4739265873204,1196.9945566428014,1201.014785581721,1207.0918693587678,1210.1431960019668,1213.4189148758987,1215.8776892893723,1219.949598708099,1223.7114190565742,1227.1464028804132,1229.851839297858,1232.32485279727,1236.5612867926325,1242.1404450489877,1246.4861407569404,1247.7667128805922,1250.604179813713,1253.573627671275,1257.596339005895,1258.5839833024224,1256.1606195574125,1250.814911440253,1247.7210538422494,1247.9460973720534,1250.1357954253203,1253.7266202666733,1259.725778474746,1268.4489123987585,1275.8786596596522,1279.3834213500945,1282.7222663480009,1287.8498781946203,1301.9289197864691,1317.7320552291335,1337.9287467508811,1358.316007909518,1382.4648505389034,1405.6038021832123,1424.1466085178274,1436.5090299993237,1447.8682392372502,1456.9338471900473,1469.2189317651212,1478.6884718823546,1490.7600270118169,1502.3045827801568,1511.1983048238433,1518.200691645173,1516.703233124919,1515.286534647275,1516.29412354525,1521.4026593737967,1526.4335522666784,1534.140682353846,1537.6054163391736,1542.038267342433,1539.312965560244,1535.5268934536534,1529.8278437065694,1523.73268391458
13271,5,Philadelphia,city,PA,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,1299.3688310565783,1302.4921708418474,1312.4402663287071,1314.2118071058708,1320.7223866999939,1321.2854006416205,1327.6783959802083,1328.3708342229315,1331.3178048317488,1338.0229513752918,1339.2430033261123,1340.891391712999,1334.9619579225657,1343.7294505921275,1346.8174976612615,1354.6577899795213,1357.098354991018,1362.3925639547792,1364.549853987525,1368.4641104573116,1369.4352449827954,1369.3591707611652,1375.635435118425,1380.4983507765417,1388.7647774182274,1387.704737317437,1391.6710221625417,1393.3607148220062,1395.3112452168173,1396.1281117965,1399.6126868626711,1404.246190290995,1410.646865746561,1413.4682913172273,1415.2638118746638,1420.0815686958067,1423.8111287181534,1429.0531167690112,1430.4868362884747,1434.620418512323,1440.1486426263132,1443.0829817442896,1444.4089804824932,1447.7173808930252,1452.62732059773,1461.1763859719363,1468.2077441153292,1469.76790806995,1473.1606742800134,1476.1938868423556,1482.0633911631844,1486.2612063637562,1490.280801508597,1496.513660600371,1503.1777302281002,1507.5715364406676,1510.4213014855166,1512.3257564446483,1514.8533280161598,1520.437003508239,1524.805133689617,1530.218090413324,1531.7144050667807,1528.758655205538,1523.9545676966363,1521.5963153807254,1523.1658693421205,1522.4513696663864,1521.0405544605617,1520.9259588529924,1523.854635102181,1526.5355383825392,1526.8913038417832,1529.8453003773284,1535.026117658708,1547.437737856295,1561.7682084975936,1574.5194903074007,1586.4405243893846,1601.1552634594618,1615.9183032691985,1630.1120417702448,1640.9162895560971,1657.4093545501846,1669.0846686880104,1678.399268879122,1683.4118927713373,1691.0210132282964,1699.8627510543108,1709.486705545428,1713.4880573148018,1717.4299380809628,1722.0827139375565,1726.1094430961823,1731.144592917531,1730.8738374231862,1735.5587017628588,1739.9994900288782,1746.8517452723113,1748.2132246393996,1747.4373393154776,1745.6940906889997,1747.2061667405862
40326,6,Phoenix,city,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",Maricopa County,929.56550849604,938.8459733563643,942.0163074436488,949.6028745711482,950.6177258755039,955.8154873196829,957.5153892885581,963.7861582816195,970.9149934291264,976.0765117802013,983.1191590170263,987.4790022513974,994.7604846097652,996.5817082886686,1001.315247105246,1005.4024610239476,1012.6220650446263,1017.6376092422502,1020.8224094087899,1023.3522542971431,1027.653120868241,1031.4855922667427,1036.7033899779062,1041.3595661779154,1047.680016597387,1054.217925331332,1061.7251019675025,1068.4710228890387,1076.574281261009,1082.379121744164,1087.9658473622019,1092.7160797160664,1096.1087510980415,1104.3004856294247,1108.1359008316622,1113.695069064902,1116.2988130584827,1122.912151303942,1131.3845171458468,1138.0466319578557,1145.747968479523,1152.0661985450945,1161.2758799616342,1170.3057098330667,1181.2738101776836,1190.9467951705353,1200.1265576327853,1208.393926114651,1214.2581300848688,1223.6194569926047,1229.5991208438606,1237.795414441109,1244.3093054907922,1253.8833253774765,1262.0826018164585,1271.1893091277727,1279.2982362728646,1286.353997157078,1296.0441962685816,1306.0998618228834,1319.545269400364,1328.4836440202218,1332.990623675353,1332.791833688955,1329.1761749575826,1327.742121897593,1331.5327503400383,1348.450625581883,1362.4416354250861,1378.1625006341096,1388.9009730396563,1404.5878930495842,1420.6656420728448,1436.0565952424215,1456.5651401706677,1486.4869803353185,1526.2141336510265,1569.56344239523,1613.2711565972336,1652.415340139223,1687.4407363926675,1713.6128798388556,1737.1425031030917,1755.2258647217268,1775.4758280007243,1788.966180431677,1801.2223123655342,1807.1900929231158,1811.761383723894,1815.1822717373527,1815.400389419084,1807.2803726044476,1804.043640517572,1806.4927296844771,1811.5338745692043,1816.5668441013022,1817.6457043862636,1823.4501350056346,1826.58246833739,1828.6530112321611,1825.6695668857665,1819.8499596018733,1814.114528490183
18959,7,Las Vegas,city,NV,NV,"Las Vegas-Henderson-Paradise, NV",Clark County,1037.7667546034238,1041.127623226956,1044.1482631345662,1048.9998150073197,1053.7052160749456,1056.5782011640172,1060.0317321548225,1063.9422429312544,1069.9137376872006,1073.1639326870725,1077.0832301726384,1080.5367599647036,1084.748461171932,1087.7618208843764,1089.9440594254625,1092.9626270338872,1098.1009249639292,1106.4087366059603,1111.159301881519,1114.2945097153138,1116.2284436608438,1121.3547650710273,1125.7143373568297,1128.9852210670633,1135.8753270766097,1142.7212286596064,1150.279833473973,1152.8500865122169,1155.9799273475774,1160.554040445775,1167.1386143108282,1174.3778832385465,1180.3155655288376,1186.1056997009289,1192.6259803286573,1201.5734390066648,1207.288234059199,1214.6649961781275,1220.1110445774868,1230.7360626742184,1238.1271328767286,1244.1384331863633,1250.3344994852328,1256.7262744187408,1266.3922379761627,1273.3922164339087,1280.5527827926428,1287.2315386481982,1294.9149314556407,1299.0295542271363,1305.9327423923642,1311.0522566471218,1317.9846385030673,1324.5701561625951,1330.6580318114334,1336.4994636701465,1340.5206206920946,1346.0055222709993,1351.0055029685702,1355.2258812727289,1359.357178889199,1365.315683979407,1371.4263514201043,1366.8711197976922,1357.095310410454,1350.5000916900772,1357.7785470840242,1369.4633690583664,1387.0633221008072,1406.6428449604523,1425.1069640305395,1441.2189512003604,1455.7878146666096,1470.9685263041022,1487.4781972435544,1513.1477488863977,1551.4279008464337,1598.2991551264188,1640.5271670145626,1686.2225501178286,1723.8009987271541,1759.7061902803412,1776.938020042869,1793.4167182241638,1805.0901853415298,1817.3539244318517,1824.4148335964094,1831.5466737328534,1834.4092950925963,1835.762697126322,1833.8351546977945,1818.8753317583144,1807.7443093012937,1795.848390754391,1797.8436332310725,1800.4467598486503,1805.9284095152618,1808.0678963685946,1811.5785872837087,1810.7064449539273,1805.5233820242688,1794.9650212682052,1785.2127210901745
54296,8,San Diego,city,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,1866.9027731869196,1876.5811212275423,1882.624088764912,1884.709906612281,1893.0743295431496,1898.9519579783978,1912.5182483438182,1926.638805379166,1938.311488618839,1949.9476776331967,1958.3519752574066,1972.429236241353,1980.6964734213775,1985.580326124501,1991.6772349370615,1998.044536888296,2006.5029792894638,2019.8224857441385,2028.3786600260837,2033.628414107789,2036.1159616433467,2048.5446408492344,2059.2159350277007,2067.229062565322,2074.6210640703043,2090.2602186961435,2106.487216782349,2122.371861990708,2131.7854726718947,2142.505634870342,2152.8644147226214,2160.72996149539,2169.1097818228304,2171.7255572354998,2184.5411231236985,2190.5419257717826,2204.9656040828927,2215.1156488580996,2228.2976420077375,2236.972709956161,2247.421026023474,2253.6551044134217,2261.756444906813,2269.0974534180555,2282.5203506294843,2291.6728985890645,2294.6686858526878,2303.4166812976496,2308.8472213474433,2316.423918972276,2318.17629865074,2323.8035760213625,2330.6537011944374,2339.1365768759415,2346.983326095036,2357.2144021291815,2362.9198637767913,2372.5511346601434,2382.149823788077,2391.0541247012557,2398.5847722144795,2404.9590896610657,2403.999193520256,2391.1873911395137,2377.7811222814757,2365.4252382050227,2366.4696945775595,2364.891175093038,2373.2466310456116,2393.1232528352307,2422.212941117852,2441.782125355027,2462.090994107271,2474.7448371559562,2498.464733131766,2527.373997027751,2561.9053419089687,2601.4800625318953,2644.988120590259,2695.414247924095,2755.435885683748,2805.2669662441526,2851.389997683734,2887.1919274301276,2916.986910194106,2956.618614539886,2992.1458676582824,3035.947237373326,3065.081604905554,3094.2299236671097,3117.9226002657756,3134.543253527447,3139.6639816323172,3146.378887310884,3151.6228471220334,3168.3649117546224,3190.104106055496,3207.075309852472,3221.3944672925636,3227.2104524008373,3239.7632680588567,3247.0645657929567,3251.368511204049
38128,9,Dallas,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Dallas County,1149.9826976754177,1154.2715151641808,1160.4486493035695,1165.398182315892,1175.492983279487,1180.9691111774146,1189.186303479308,1192.8349752349736,1200.1330945736006,1209.3903887536933,1220.8267191422258,1229.091734053735,1231.0750173007473,1234.747135378371,1236.4747434783008,1243.3052259150513,1243.6350010252554,1251.4740184539173,1256.9972317344996,1264.0178046711806,1268.1210443074826,1269.8457634735832,1270.965653562401,1275.684763957297,1287.2654631799662,1295.7614439635431,1310.232048363218,1316.5003389502751,1325.8491993561097,1323.0446182959417,1324.9005002281394,1326.174289936079,1333.7105496350962,1334.1682838232236,1345.7377126808067,1351.6021883869976,1358.2457951729818,1363.8334996397325,1362.7652570887178,1364.538607988698,1362.4075249409195,1369.5386949282527,1373.9619451101291,1378.81272094402,1377.5428193009805,1385.82159972465,1388.371670274299,1397.1306211674932,1399.33209160819,1402.0501488950088,1406.9564673355428,1412.4654733739826,1420.3656479375375,1425.2608810021322,1429.9165996459428,1433.8828476146834,1439.5140365475575,1441.333033070867,1441.7742675675706,1439.231150407958,1439.792869680862,1440.677141882471,1452.7131877335253,1448.4797050642512,1440.3027249653874,1427.4288490710908,1421.8817126390547,1421.7003460246503,1428.3970048472431,1437.6768257627236,1449.8800829302545,1458.5389799003644,1457.94529602017,1458.238323870451,1465.7709661216988,1485.591163520141,1509.302228538483,1531.212693002281,1556.980579907123,1583.0260044705362,1611.8567668431488,1635.3442064459814,1656.01807538886,1678.4771303813886,1701.0815052545877,1723.5155785747756,1732.8386946876024,1747.2372761370884,1759.9854767307947,1784.385566825938,1795.5348284316317,1801.1796081728469,1800.7266619410716,1802.8174829315515,1805.8898733372052,1808.2542809336574,1812.682329000624,1814.9387258759368,1821.6639841494343,1817.80082932732,1811.8272033620049,1797.0840637388526,1786.8744397145053
