Label (Grouping),Occupied housing units,HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS),HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Median household income (dollars),MONTHLY HOUSING COSTS,MONTHLY HOUSING COSTS!!Median (dollars)
ZCTA5 19102,,,,,
    Occupied housing units,,,,,
        Estimate,"2,550",,"76,962",,"1,734"
    Owner-occupied housing units,,,,,
        Estimate,491,,"78,041",,"1,714"
    Renter-occupied housing units,,,,,
        Estimate,"2,059",,"76,014",,"1,843"
ZCTA5 19103,,,,,
    Occupied housing units,,,,,
        Estimate,"14,866",,"63,709",,"1,492"
    Owner-occupied housing units,,,,,
        Estimate,"4,981",,"102,610",,"1,875"
    Renter-occupied housing units,,,,,
        Estimate,"9,885",,"48,570",,"1,415"
ZCTA5 19104,,,,,
    Occupied housing units,,,,,
        Estimate,"15,624",,"19,236",,805
    Owner-occupied housing units,,,,,
        Estimate,"3,037",,"44,216",,621
    Renter-occupied housing units,,,,,
        Estimate,"12,587",,"14,786",,826
ZCTA5 19106,,,,,
    Occupied housing units,,,,,
        Estimate,"6,109",,"93,720",,"1,675"
    Owner-occupied housing units,,,,,
        Estimate,"2,754",,"125,852",,"1,968"
    Renter-occupied housing units,,,,,
        Estimate,"3,355",,"79,955",,"1,595"
ZCTA5 19107,,,,,
    Occupied housing units,,,,,
        Estimate,"6,601",,"44,402",,"1,135"
    Owner-occupied housing units,,,,,
        Estimate,"1,332",,"107,667",,"1,786"
    Renter-occupied housing units,,,,,
        Estimate,"5,269",,"36,986",,"1,085"
ZCTA5 19111,,,,,
    Occupied housing units,,,,,
        Estimate,"23,970",,"44,123",,984
    Owner-occupied housing units,,,,,
        Estimate,"13,751",,"56,429",,"1,149"
    Renter-occupied housing units,,,,,
        Estimate,"10,219",,"31,220",,901
ZCTA5 19112,,,,,
    Occupied housing units,,,,,
        Estimate,0,,-,,-
    Owner-occupied housing units,,,,,
        Estimate,0,,-,,-
    Renter-occupied housing units,,,,,
        Estimate,0,,-,,-
ZCTA5 19114,,,,,
    Occupied housing units,,,,,
        Estimate,"12,569",,"54,074",,989
    Owner-occupied housing units,,,,,
        Estimate,"7,669",,"67,265",,"1,065"
    Renter-occupied housing units,,,,,
        Estimate,"4,900",,"37,768",,968
ZCTA5 19115,,,,,
    Occupied housing units,,,,,
        Estimate,"13,454",,"45,799",,961
    Owner-occupied housing units,,,,,
        Estimate,"8,026",,"69,432",,"1,039"
    Renter-occupied housing units,,,,,
        Estimate,"5,428",,"28,423",,927
ZCTA5 19116,,,,,
    Occupied housing units,,,,,
        Estimate,"12,382",,"48,058",,933
    Owner-occupied housing units,,,,,
        Estimate,"7,479",,"66,523",,"1,182"
    Renter-occupied housing units,,,,,
        Estimate,"4,903",,"26,489",,864
ZCTA5 19118,,,,,
    Occupied housing units,,,,,
        Estimate,"4,171",,"77,271",,"1,396"
    Owner-occupied housing units,,,,,
        Estimate,"2,045",,"136,250",,"2,006"
    Renter-occupied housing units,,,,,
        Estimate,"2,126",,"53,836",,"1,200"
ZCTA5 19119,,,,,
    Occupied housing units,,,,,
        Estimate,"11,942",,"58,378",,"1,068"
    Owner-occupied housing units,,,,,
        Estimate,"7,544",,"82,198",,"1,328"
    Renter-occupied housing units,,,,,
        Estimate,"4,398",,"31,748",,883
ZCTA5 19120,,,,,
    Occupied housing units,,,,,
        Estimate,"23,054",,"33,966",,879
    Owner-occupied housing units,,,,,
        Estimate,"13,006",,"44,335",,873
    Renter-occupied housing units,,,,,
        Estimate,"10,048",,"23,967",,886
ZCTA5 19121,,,,,
    Occupied housing units,,,,,
        Estimate,"12,344",,"16,105",,589
    Owner-occupied housing units,,,,,
        Estimate,"3,824",,"30,770",,544
    Renter-occupied housing units,,,,,
        Estimate,"8,520",,"11,406",,607
ZCTA5 19122,,,,,
    Occupied housing units,,,,,
        Estimate,"6,108",,"23,509",,645
    Owner-occupied housing units,,,,,
        Estimate,"2,443",,"40,717",,560
    Renter-occupied housing units,,,,,
        Estimate,"3,665",,"17,917",,680
ZCTA5 19123,,,,,
    Occupied housing units,,,,,
        Estimate,"5,913",,"48,798",,"1,192"
    Owner-occupied housing units,,,,,
        Estimate,"1,913",,"88,652",,"1,461"
    Renter-occupied housing units,,,,,
        Estimate,"4,000",,"37,567",,"1,024"
ZCTA5 19124,,,,,
    Occupied housing units,,,,,
        Estimate,"21,700",,"28,726",,852
    Owner-occupied housing units,,,,,
        Estimate,"12,088",,"38,196",,857
    Renter-occupied housing units,,,,,
        Estimate,"9,612",,"20,668",,848
ZCTA5 19125,,,,,
    Occupied housing units,,,,,
        Estimate,"9,099",,"41,186",,824
    Owner-occupied housing units,,,,,
        Estimate,"5,573",,"45,318",,791
    Renter-occupied housing units,,,,,
        Estimate,"3,526",,"35,453",,844
ZCTA5 19126,,,,,
    Occupied housing units,,,,,
        Estimate,"5,833",,"40,031",,894
    Owner-occupied housing units,,,,,
        Estimate,"3,746",,"51,200",,982
    Renter-occupied housing units,,,,,
        Estimate,"2,087",,"19,404",,844
ZCTA5 19127,,,,,
    Occupied housing units,,,,,
        Estimate,"2,374",,"63,849",,"1,213"
    Owner-occupied housing units,,,,,
        Estimate,"1,028",,"57,898",,925
    Renter-occupied housing units,,,,,
        Estimate,"1,346",,"65,707",,"1,341"
ZCTA5 19128,,,,,
    Occupied housing units,,,,,
        Estimate,"15,297",,"62,052",,"1,233"
    Owner-occupied housing units,,,,,
        Estimate,"9,416",,"75,284",,"1,368"
    Renter-occupied housing units,,,,,
        Estimate,"5,881",,"47,933",,"1,129"
ZCTA5 19129,,,,,
    Occupied housing units,,,,,
        Estimate,"4,696",,"49,807",,"1,098"
    Owner-occupied housing units,,,,,
        Estimate,"2,505",,"64,329",,"1,060"
    Renter-occupied housing units,,,,,
        Estimate,"2,191",,"31,035",,"1,121"
ZCTA5 19130,,,,,
    Occupied housing units,,,,,
        Estimate,"12,297",,"62,721",,"1,332"
    Owner-occupied housing units,,,,,
        Estimate,"5,190",,"94,513",,"1,663"
    Renter-occupied housing units,,,,,
        Estimate,"7,107",,"50,397",,"1,181"
ZCTA5 19131,,,,,
    Occupied housing units,,,,,
        Estimate,"18,122",,"27,914",,851
    Owner-occupied housing units,,,,,
        Estimate,"8,314",,"39,860",,733
    Renter-occupied housing units,,,,,
        Estimate,"9,808",,"20,768",,908
ZCTA5 19132,,,,,
    Occupied housing units,,,,,
        Estimate,"13,390",,"24,233",,589
    Owner-occupied housing units,,,,,
        Estimate,"7,018",,"27,459",,438
    Renter-occupied housing units,,,,,
        Estimate,"6,372",,"20,380",,750
ZCTA5 19133,,,,,
    Occupied housing units,,,,,
        Estimate,"8,680",,"14,185",,484
