Label (Grouping),SEX AND AGE!!Total population,RACE,RACE!!One race!!White,RACE!!One race!!Black or African American,RACE!!One race!!American Indian and Alaska Native,RACE!!One race!!Asian,RACE!!One race!!Native Hawaiian and Other Pacific Islander,RACE!!One race!!Some other race,RACE!!Two or more races,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),HISPANIC OR LATINO AND RACE!!Total housing units
    Percent,"26,247",,20.50%,41.40%,0.10%,0.30%,0.00%,35.30%,2.40%,61.50%,(X)
ZCTA5 19134,,,,,,,,,,,
    Estimate,"63,631",,"31,066","14,821",671,925,46,"13,104","2,998","28,685","23,223"
    Percent,"63,631",,48.80%,23.30%,1.10%,1.50%,0.10%,20.60%,4.70%,45.10%,(X)
ZCTA5 19135,,,,,,,,,,,
    Estimate,"31,886",,"20,866","6,783",82,835,42,"2,413",865,"6,165","13,346"
    Percent,"31,886",,65.40%,21.30%,0.30%,2.60%,0.10%,7.60%,2.70%,19.30%,(X)
ZCTA5 19136,,,,,,,,,,,
    Estimate,"34,873",,"26,936","5,751",10,698,4,623,851,"3,026","13,201"
    Percent,"34,873",,77.20%,16.50%,0.00%,2.00%,0.00%,1.80%,2.40%,8.70%,(X)
ZCTA5 19137,,,,,,,,,,,
    Estimate,"7,951",,"7,474",135,0,63,18,154,107,504,"3,324"
    Percent,"7,951",,94.00%,1.70%,0.00%,0.80%,0.20%,1.90%,1.30%,6.30%,(X)
ZCTA5 19138,,,,,,,,,,,
    Estimate,"34,240",,"1,469","31,563",101,264,0,137,706,999,"13,599"
    Percent,"34,240",,4.30%,92.20%,0.30%,0.80%,0.00%,0.40%,2.10%,2.90%,(X)
ZCTA5 19139,,,,,,,,,,,
    Estimate,"42,451",,"2,396","38,702",90,328,0,387,548,"1,167","20,488"
    Percent,"42,451",,5.60%,91.20%,0.20%,0.80%,0.00%,0.90%,1.30%,2.70%,(X)
ZCTA5 19140,,,,,,,,,,,
    Estimate,"53,608",,"8,026","31,470",572,532,129,"11,200","1,679","21,765","22,458"
    Percent,"53,608",,15.00%,58.70%,1.10%,1.00%,0.20%,20.90%,3.10%,40.60%,(X)
ZCTA5 19141,,,,,,,,,,,
    Estimate,"33,591",,"2,417","28,738",26,"1,008",0,823,579,"1,406","14,220"
    Percent,"33,591",,7.20%,85.60%,0.10%,3.00%,0.00%,2.50%,1.70%,4.20%,(X)
ZCTA5 19142,,,,,,,,,,,
    Estimate,"28,770",,"2,768","22,732",43,"2,496",0,327,404,943,"11,385"
    Percent,"28,770",,9.60%,79.00%,0.10%,8.70%,0.00%,1.10%,1.40%,3.30%,(X)
ZCTA5 19143,,,,,,,,,,,
    Estimate,"64,073",,"7,056","53,805",199,951,5,396,"1,661","1,242","30,434"
    Percent,"64,073",,11.00%,84.00%,0.30%,1.50%,0.00%,0.60%,2.60%,1.90%,(X)
ZCTA5 19144,,,,,,,,,,,
    Estimate,"41,549",,"6,844","32,523",89,593,23,507,970,"1,187","21,724"
    Percent,"41,549",,16.50%,78.30%,0.20%,1.40%,0.10%,1.20%,2.30%,2.90%,(X)
ZCTA5 19145,,,,,,,,,,,
    Estimate,"47,498",,"22,702","16,108",72,"6,064",8,545,"1,999","3,001","20,662"
    Percent,"47,498",,47.80%,33.90%,0.20%,12.80%,0.00%,1.10%,4.20%,6.30%,(X)
ZCTA5 19146,,,,,,,,,,,
    Estimate,"36,596",,"14,496","18,692",129,"1,681",27,255,"1,316","1,128","19,039"
    Percent,"36,596",,39.60%,51.10%,0.40%,4.60%,0.10%,0.70%,3.60%,3.10%,(X)
ZCTA5 19147,,,,,,,,,,,
    Estimate,"36,580",,"26,820","3,464",143,"4,619",41,482,"1,011","4,021","18,712"
    Percent,"36,580",,73.30%,9.50%,0.40%,12.60%,0.10%,1.30%,2.80%,11.00%,(X)
ZCTA5 19148,,,,,,,,,,,
    Estimate,"52,629",,"34,715","4,442",240,"10,950",0,933,"1,349","5,185","21,422"
    Percent,"52,629",,66.00%,8.40%,0.50%,20.80%,0.00%,1.80%,2.60%,9.90%,(X)
ZCTA5 19149,,,,,,,,,,,
    Estimate,"55,445",,"27,510","14,508",145,"7,723",14,"3,624","1,921","10,109","20,318"
    Percent,"55,445",,49.60%,26.20%,0.30%,13.90%,0.00%,6.50%,3.50%,18.20%,(X)
ZCTA5 19150,,,,,,,,,,,
    Estimate,"25,282",,572,"24,226",4,68,0,29,383,274,"10,623"
    Percent,"25,282",,2.30%,95.80%,0.00%,0.30%,0.00%,0.10%,1.50%,1.10%,(X)
ZCTA5 19151,,,,,,,,,,,
    Estimate,"32,683",,"3,865","27,660",97,506,21,73,461,979,"13,316"
    Percent,"32,683",,11.80%,84.60%,0.30%,1.50%,0.10%,0.20%,1.40%,3.00%,(X)
ZCTA5 19152,,,,,,,,,,,
    Estimate,"34,684",,"24,725","3,538",110,"4,190",0,"1,077","1,044","2,675","13,592"
    Percent,"34,684",,71.30%,10.20%,0.30%,12.10%,0.00%,3.10%,3.00%,7.70%,(X)
ZCTA5 19153,,,,,,,,,,,
    Estimate,"11,663",,"2,014","8,830",0,599,0,36,184,243,"5,584"
    Percent,"11,663",,17.30%,75.70%,0.00%,5.10%,0.00%,0.30%,1.60%,2.10%,(X)
ZCTA5 19154,,,,,,,,,,,
    Estimate,"33,618",,"28,505","2,581",0,"1,572",65,438,457,"2,102","13,122"
    Percent,"33,618",,84.80%,7.70%,0.00%,4.70%,0.20%,1.30%,1.40%,6.30%,(X)
