Label (Grouping),SEX AND AGE!!Total population,RACE,RACE!!One race!!White,RACE!!One race!!Black or African American,RACE!!One race!!American Indian and Alaska Native,RACE!!One race!!Asian,RACE!!One race!!Native Hawaiian and Other Pacific Islander,RACE!!One race!!Some other race,RACE!!Two or more races,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),HISPANIC OR LATINO AND RACE!!Total housing units
ZCTA5 19102,,,,,,,,,,,
    Estimate,"4,056",,"3,401",182,29,313,0,21,110,514,"3,174"
    Percent,"4,056",,83.90%,4.50%,0.70%,7.70%,0.00%,0.50%,2.70%,12.70%,(X)
ZCTA5 19103,,,,,,,,,,,
    Estimate,"22,427",,"17,831","1,140",120,"2,776",0,142,418,819,"17,012"
    Percent,"22,427",,79.50%,5.10%,0.50%,12.40%,0.00%,0.60%,1.90%,3.70%,(X)
ZCTA5 19104,,,,,,,,,,,
    Estimate,"52,800",,"20,909","21,379",64,"7,748",97,"1,036","1,567","2,773","19,044"
    Percent,"52,800",,39.60%,40.50%,0.10%,14.70%,0.20%,2.00%,3.00%,5.30%,(X)
ZCTA5 19106,,,,,,,,,,,
    Estimate,"11,424",,"9,354","1,003",22,743,0,165,137,728,"7,238"
    Percent,"11,424",,81.90%,8.80%,0.20%,6.50%,0.00%,1.40%,1.20%,6.40%,(X)
ZCTA5 19107,,,,,,,,,,,
    Estimate,"12,327",,"7,732",975,15,"3,351",0,96,158,450,"7,835"
    Percent,"12,327",,62.70%,7.90%,0.10%,27.20%,0.00%,0.80%,1.30%,3.70%,(X)
ZCTA5 19111,,,,,,,,,,,
    Estimate,"68,620",,"39,231","14,839",173,"6,697",10,"5,358","2,312","9,941","25,647"
    Percent,"68,620",,57.20%,21.60%,0.30%,9.80%,0.00%,7.80%,3.40%,14.50%,(X)
ZCTA5 19112,,,,,,,,,,,
    Estimate,0,,0,0,0,0,0,0,0,0,0
    Percent,0,,-,-,-,-,-,-,-,-,(X)
ZCTA5 19114,,,,,,,,,,,
    Estimate,"30,651",,"25,648","2,910",14,"1,348",0,365,366,"2,097","13,582"
    Percent,"30,651",,83.70%,9.50%,0.00%,4.40%,0.00%,1.20%,1.20%,6.80%,(X)
ZCTA5 19115,,,,,,,,,,,
    Estimate,"33,780",,"26,060","1,746",71,"4,493",0,896,514,"2,090","14,167"
    Percent,"33,780",,77.10%,5.20%,0.20%,13.30%,0.00%,2.70%,1.50%,6.20%,(X)
ZCTA5 19116,,,,,,,,,,,
    Estimate,"31,763",,"25,817","1,895",20,"3,441",0,223,367,"1,253","13,132"
    Percent,"31,763",,81.30%,6.00%,0.10%,10.80%,0.00%,0.70%,1.20%,3.90%,(X)
ZCTA5 19118,,,,,,,,,,,
    Estimate,"9,626",,"7,768","1,280",63,260,0,12,243,385,"4,489"
    Percent,"9,626",,80.70%,13.30%,0.70%,2.70%,0.00%,0.10%,2.50%,4.00%,(X)
ZCTA5 19119,,,,,,,,,,,
    Estimate,"29,017",,"8,748","18,007",39,530,0,427,"1,266",798,"13,195"
    Percent,"29,017",,30.10%,62.10%,0.10%,1.80%,0.00%,1.50%,4.40%,2.80%,(X)
ZCTA5 19120,,,,,,,,,,,
    Estimate,"76,430",,"10,976","38,553",690,"10,322",733,"13,079","2,077","22,214","25,397"
    Percent,"76,430",,14.40%,50.40%,0.90%,13.50%,1.00%,17.10%,2.70%,29.10%,(X)
ZCTA5 19121,,,,,,,,,,,
    Estimate,"33,543",,"6,023","25,688",66,511,0,468,787,"1,404","16,500"
    Percent,"33,543",,18.00%,76.60%,0.20%,1.50%,0.00%,1.40%,2.30%,4.20%,(X)
ZCTA5 19122,,,,,,,,,,,
    Estimate,"19,784",,"7,440","7,173",213,618,36,"3,633",671,"6,381","7,136"
    Percent,"19,784",,37.60%,36.30%,1.10%,3.10%,0.20%,18.40%,3.40%,32.30%,(X)
ZCTA5 19123,,,,,,,,,,,
    Estimate,"13,285",,"6,110","5,841",9,607,0,259,459,"1,399","6,901"
    Percent,"13,285",,46.00%,44.00%,0.10%,4.60%,0.00%,1.90%,3.50%,10.50%,(X)
ZCTA5 19124,,,,,,,,,,,
    Estimate,"64,044",,"22,157","24,724",284,"3,349",103,"10,662","2,765","21,455","25,421"
    Percent,"64,044",,34.60%,38.60%,0.40%,5.20%,0.20%,16.60%,4.30%,33.50%,(X)
ZCTA5 19125,,,,,,,,,,,
    Estimate,"23,070",,"18,286","1,056",94,"1,867",0,"1,391",376,"3,430","10,459"
    Percent,"23,070",,79.30%,4.60%,0.40%,8.10%,0.00%,6.00%,1.60%,14.90%,(X)
ZCTA5 19126,,,,,,,,,,,
    Estimate,"16,282",,"1,178","13,914",0,718,0,220,252,306,"6,436"
    Percent,"16,282",,7.20%,85.50%,0.00%,4.40%,0.00%,1.40%,1.50%,1.90%,(X)
ZCTA5 19127,,,,,,,,,,,
    Estimate,"5,457",,"4,821",493,0,71,0,0,72,194,"2,760"
    Percent,"5,457",,88.30%,9.00%,0.00%,1.30%,0.00%,0.00%,1.30%,3.60%,(X)
ZCTA5 19128,,,,,,,,,,,
    Estimate,"35,720",,"30,919","2,508",66,"1,118",0,419,690,"1,236","16,727"
    Percent,"35,720",,86.60%,7.00%,0.20%,3.10%,0.00%,1.20%,1.90%,3.50%,(X)
ZCTA5 19129,,,,,,,,,,,
    Estimate,"11,582",,"6,859","3,859",24,608,7,146,79,425,"5,306"
    Percent,"11,582",,59.20%,33.30%,0.20%,5.20%,0.10%,1.30%,0.70%,3.70%,(X)
ZCTA5 19130,,,,,,,,,,,
    Estimate,"25,731",,"17,363","6,006",77,"1,535",0,306,444,"1,395","13,901"
    Percent,"25,731",,67.50%,23.30%,0.30%,6.00%,0.00%,1.20%,1.70%,5.40%,(X)
ZCTA5 19131,,,,,,,,,,,
    Estimate,"42,194",,"6,529","32,445",154,"1,691",32,395,948,"1,354","21,480"
    Percent,"42,194",,15.50%,76.90%,0.40%,4.00%,0.10%,0.90%,2.20%,3.20%,(X)
ZCTA5 19132,,,,,,,,,,,
    Estimate,"36,218",,"1,153","33,956",79,13,0,155,862,905,"17,880"
    Percent,"36,218",,3.20%,93.80%,0.20%,0.00%,0.00%,0.40%,2.40%,2.50%,(X)
ZCTA5 19133,,,,,,,,,,,
    Estimate,"25,881",,"4,372","11,362",21,109,0,"9,573",444,"16,167","10,722"
    Percent,"25,881",,16.90%,43.90%,0.10%,0.40%,0.00%,37.00%,1.70%,62.50%,(X)
ZCTA5 19134,,,,,,,,,,,
    Estimate,"61,108",,"30,930","13,045",254,815,41,"12,993","3,030","28,439","23,093"
    Percent,"61,108",,50.60%,21.30%,0.40%,1.30%,0.10%,21.30%,5.00%,46.50%,(X)
ZCTA5 19135,,,,,,,,,,,
    Estimate,"32,336",,"21,283","5,945",90,879,34,"3,068","1,037","6,172","13,339"
    Percent,"32,336",,65.80%,18.40%,0.30%,2.70%,0.10%,9.50%,3.20%,19.10%,(X)
ZCTA5 19136,,,,,,,,,,,
    Estimate,"36,865",,"26,406","6,979",74,"1,251",3,946,"1,206","3,465","13,314"
    Percent,"36,865",,71.60%,18.90%,0.20%,3.40%,0.00%,2.60%,3.30%,9.40%,(X)
ZCTA5 19137,,,,,,,,,,,
    Estimate,"8,439",,"7,732",147,0,73,0,229,258,636,"3,324"
    Percent,"8,439",,91.60%,1.70%,0.00%,0.90%,0.00%,2.70%,3.10%,7.50%,(X)
ZCTA5 19138,,,,,,,,,,,
    Estimate,"34,573",,"1,557","32,127",75,210,0,98,506,944,"13,563"
    Percent,"34,573",,4.50%,92.90%,0.20%,0.60%,0.00%,0.30%,1.50%,2.70%,(X)
ZCTA5 19139,,,,,,,,,,,
    Estimate,"43,181",,"2,345","39,606",66,326,0,403,435,"1,149","20,596"
    Percent,"43,181",,5.40%,91.70%,0.20%,0.80%,0.00%,0.90%,1.00%,2.70%,(X)
ZCTA5 19140,,,,,,,,,,,
    Estimate,"53,778",,"6,940","31,578",407,517,85,"12,669","1,582","21,708","22,374"
    Percent,"53,778",,12.90%,58.70%,0.80%,1.00%,0.20%,23.60%,2.90%,40.40%,(X)
ZCTA5 19141,,,,,,,,,,,
    Estimate,"32,058",,"2,623","27,031",23,891,0,857,633,"1,458","13,892"
