Label (Grouping),SEX AND AGE!!Total population,RACE,RACE!!One race!!White,RACE!!One race!!Black or African American,RACE!!One race!!American Indian and Alaska Native,RACE!!One race!!Asian,RACE!!One race!!Native Hawaiian and Other Pacific Islander,RACE!!One race!!Some other race,RACE!!Two or more races,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),HISPANIC OR LATINO AND RACE!!Total housing units
    Percent,"32,058",,8.20%,84.30%,0.10%,2.80%,0.00%,2.70%,2.00%,4.50%,(X)
ZCTA5 19142,,,,,,,,,,,
    Estimate,"29,381",,"2,948","22,686",57,"2,785",19,398,488,870,"11,476"
    Percent,"29,381",,10.00%,77.20%,0.20%,9.50%,0.10%,1.40%,1.70%,3.00%,(X)
ZCTA5 19143,,,,,,,,,,,
    Estimate,"66,372",,"7,562","56,207",169,936,1,279,"1,218","1,036","30,426"
    Percent,"66,372",,11.40%,84.70%,0.30%,1.40%,0.00%,0.40%,1.80%,1.60%,(X)
ZCTA5 19144,,,,,,,,,,,
    Estimate,"44,380",,"7,146","35,389",47,552,15,459,772,"1,208","22,213"
    Percent,"44,380",,16.10%,79.70%,0.10%,1.20%,0.00%,1.00%,1.70%,2.70%,(X)
ZCTA5 19145,,,,,,,,,,,
    Estimate,"47,776",,"22,689","16,360",71,"6,349",11,593,"1,703","2,991","20,718"
    Percent,"47,776",,47.50%,34.20%,0.10%,13.30%,0.00%,1.20%,3.60%,6.30%,(X)
ZCTA5 19146,,,,,,,,,,,
    Estimate,"34,837",,"13,500","17,773",144,"1,911",30,175,"1,304","1,007","18,857"
    Percent,"34,837",,38.80%,51.00%,0.40%,5.50%,0.10%,0.50%,3.70%,2.90%,(X)
ZCTA5 19147,,,,,,,,,,,
    Estimate,"35,014",,"25,931","3,448",57,"4,308",35,438,797,"3,745","18,491"
    Percent,"35,014",,74.10%,9.80%,0.20%,12.30%,0.10%,1.30%,2.30%,10.70%,(X)
ZCTA5 19148,,,,,,,,,,,
    Estimate,"51,455",,"34,158","4,845",163,"9,922",0,890,"1,477","4,754","21,329"
    Percent,"51,455",,66.40%,9.40%,0.30%,19.30%,0.00%,1.70%,2.90%,9.20%,(X)
ZCTA5 19149,,,,,,,,,,,
    Estimate,"53,731",,"28,297","13,547",88,"6,453",0,"3,499","1,847","9,070","20,004"
    Percent,"53,731",,52.70%,25.20%,0.20%,12.00%,0.00%,6.50%,3.40%,16.90%,(X)
ZCTA5 19150,,,,,,,,,,,
    Estimate,"24,273",,541,"23,409",4,34,0,17,268,292,"10,759"
    Percent,"24,273",,2.20%,96.40%,0.00%,0.10%,0.00%,0.10%,1.10%,1.20%,(X)
ZCTA5 19151,,,,,,,,,,,
    Estimate,"32,824",,"3,387","28,271",34,450,52,191,439,826,"13,459"
    Percent,"32,824",,10.30%,86.10%,0.10%,1.40%,0.20%,0.60%,1.30%,2.50%,(X)
ZCTA5 19152,,,,,,,,,,,
    Estimate,"33,238",,"24,711","2,599",179,"4,077",0,746,926,"2,427","13,408"
    Percent,"33,238",,74.30%,7.80%,0.50%,12.30%,0.00%,2.20%,2.80%,7.30%,(X)
ZCTA5 19153,,,,,,,,,,,
    Estimate,"12,053",,"2,101","8,742",24,"1,040",0,42,104,276,"5,554"
    Percent,"12,053",,17.40%,72.50%,0.20%,8.60%,0.00%,0.30%,0.90%,2.30%,(X)
ZCTA5 19154,,,,,,,,,,,
    Estimate,"33,419",,"28,424","2,709",0,"1,346",15,390,535,"2,128","13,104"
    Percent,"33,419",,85.10%,8.10%,0.00%,4.00%,0.00%,1.20%,1.60%,6.40%,(X)
