Label (Grouping),Occupied housing units,HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS),HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS)!!Median household income (dollars),MONTHLY HOUSING COSTS,MONTHLY HOUSING COSTS!!Median (dollars)
ZCTA5 19102,,,,,
    Occupied housing units,,,,,
        Estimate,"2,807",,"86,855",,"1,941"
    Owner-occupied housing units,,,,,
        Estimate,736,,"91,711",,"1,824"
    Renter-occupied housing units,,,,,
        Estimate,"2,071",,"86,513",,"1,987"
ZCTA5 19103,,,,,
    Occupied housing units,,,,,
        Estimate,"14,610",,"65,965",,"1,503"
    Owner-occupied housing units,,,,,
        Estimate,"5,138",,"101,311",,"1,798"
    Renter-occupied housing units,,,,,
        Estimate,"9,472",,"52,295",,"1,460"
ZCTA5 19104,,,,,
    Occupied housing units,,,,,
        Estimate,"15,436",,"20,483",,847
    Owner-occupied housing units,,,,,
        Estimate,"2,975",,"43,290",,616
    Renter-occupied housing units,,,,,
        Estimate,"12,461",,"16,198",,879
ZCTA5 19106,,,,,
    Occupied housing units,,,,,
        Estimate,"6,183",,"101,648",,"1,676"
    Owner-occupied housing units,,,,,
        Estimate,"2,742",,"122,744",,"1,911"
    Renter-occupied housing units,,,,,
        Estimate,"3,441",,"88,859",,"1,637"
ZCTA5 19107,,,,,
    Occupied housing units,,,,,
        Estimate,"6,631",,"47,572",,"1,171"
    Owner-occupied housing units,,,,,
        Estimate,"1,219",,"84,183",,"1,353"
    Renter-occupied housing units,,,,,
        Estimate,"5,412",,"41,285",,"1,152"
ZCTA5 19111,,,,,
    Occupied housing units,,,,,
        Estimate,"24,021",,"44,301",,964
    Owner-occupied housing units,,,,,
        Estimate,"13,233",,"60,319",,"1,081"
    Renter-occupied housing units,,,,,
        Estimate,"10,788",,"30,714",,906
ZCTA5 19112,,,,,
    Occupied housing units,,,,,
        Estimate,0,,-,,-
    Owner-occupied housing units,,,,,
        Estimate,0,,-,,-
    Renter-occupied housing units,,,,,
        Estimate,0,,-,,-
ZCTA5 19114,,,,,
    Occupied housing units,,,,,
        Estimate,"12,834",,"51,427",,994
    Owner-occupied housing units,,,,,
        Estimate,"7,722",,"65,747",,"1,008"
    Renter-occupied housing units,,,,,
        Estimate,"5,112",,"37,410",,991
ZCTA5 19115,,,,,
    Occupied housing units,,,,,
        Estimate,"13,595",,"45,949",,956
    Owner-occupied housing units,,,,,
        Estimate,"7,867",,"71,308",,"1,009"
    Renter-occupied housing units,,,,,
        Estimate,"5,728",,"32,707",,936
ZCTA5 19116,,,,,
    Occupied housing units,,,,,
        Estimate,"12,670",,"46,452",,938
    Owner-occupied housing units,,,,,
        Estimate,"7,342",,"69,391",,"1,139"
    Renter-occupied housing units,,,,,
        Estimate,"5,328",,"24,500",,877
ZCTA5 19118,,,,,
    Occupied housing units,,,,,
        Estimate,"4,270",,"77,763",,"1,532"
    Owner-occupied housing units,,,,,
        Estimate,"2,026",,"137,574",,"2,121"
    Renter-occupied housing units,,,,,
        Estimate,"2,244",,"50,566",,"1,317"
ZCTA5 19119,,,,,
    Occupied housing units,,,,,
        Estimate,"12,056",,"54,579",,"1,074"
    Owner-occupied housing units,,,,,
        Estimate,"7,610",,"73,857",,"1,246"
    Renter-occupied housing units,,,,,
        Estimate,"4,446",,"33,192",,917
ZCTA5 19120,,,,,
    Occupied housing units,,,,,
        Estimate,"22,987",,"35,413",,897
    Owner-occupied housing units,,,,,
        Estimate,"13,317",,"45,389",,882
    Renter-occupied housing units,,,,,
        Estimate,"9,670",,"25,154",,915
ZCTA5 19121,,,,,
    Occupied housing units,,,,,
        Estimate,"12,258",,"17,969",,644
    Owner-occupied housing units,,,,,
        Estimate,"3,763",,"32,439",,553
    Renter-occupied housing units,,,,,
        Estimate,"8,495",,"13,804",,694
ZCTA5 19122,,,,,
    Occupied housing units,,,,,
        Estimate,"5,906",,"29,815",,684
    Owner-occupied housing units,,,,,
        Estimate,"2,517",,"45,965",,619
    Renter-occupied housing units,,,,,
        Estimate,"3,389",,"21,383",,713
ZCTA5 19123,,,,,
    Occupied housing units,,,,,
        Estimate,"6,452",,"53,295",,"1,215"
    Owner-occupied housing units,,,,,
        Estimate,"2,103",,"91,658",,"1,489"
    Renter-occupied housing units,,,,,
        Estimate,"4,349",,"41,250",,"1,107"
ZCTA5 19124,,,,,
    Occupied housing units,,,,,
        Estimate,"22,178",,"29,334",,858
    Owner-occupied housing units,,,,,
        Estimate,"11,641",,"39,355",,829
    Renter-occupied housing units,,,,,
        Estimate,"10,537",,"21,427",,877
ZCTA5 19125,,,,,
    Occupied housing units,,,,,
        Estimate,"9,187",,"45,720",,914
    Owner-occupied housing units,,,,,
        Estimate,"5,676",,"53,099",,914
    Renter-occupied housing units,,,,,
        Estimate,"3,511",,"36,779",,914
ZCTA5 19126,,,,,
    Occupied housing units,,,,,
        Estimate,"5,764",,"36,544",,945
    Owner-occupied housing units,,,,,
        Estimate,"3,712",,"53,088",,"1,073"
    Renter-occupied housing units,,,,,
        Estimate,"2,052",,"18,964",,887
ZCTA5 19127,,,,,
    Occupied housing units,,,,,
        Estimate,"2,186",,"70,556",,"1,322"
    Owner-occupied housing units,,,,,
        Estimate,955,,"77,417",,"1,141"
    Renter-occupied housing units,,,,,
        Estimate,"1,231",,"64,447",,"1,360"
ZCTA5 19128,,,,,
    Occupied housing units,,,,,
        Estimate,"15,264",,"61,144",,"1,235"
    Owner-occupied housing units,,,,,
        Estimate,"9,151",,"75,928",,"1,328"
    Renter-occupied housing units,,,,,
        Estimate,"6,113",,"50,411",,"1,171"
ZCTA5 19129,,,,,
    Occupied housing units,,,,,
        Estimate,"4,551",,"48,129",,"1,072"
    Owner-occupied housing units,,,,,
        Estimate,"2,434",,"54,957",,970
    Renter-occupied housing units,,,,,
        Estimate,"2,117",,"30,557",,"1,141"
ZCTA5 19130,,,,,
    Occupied housing units,,,,,
        Estimate,"12,382",,"71,173",,"1,411"
    Owner-occupied housing units,,,,,
        Estimate,"5,188",,"102,138",,"1,715"
    Renter-occupied housing units,,,,,
        Estimate,"7,194",,"51,931",,"1,296"
ZCTA5 19131,,,,,
    Occupied housing units,,,,,
        Estimate,"17,741",,"27,722",,856
    Owner-occupied housing units,,,,,
        Estimate,"7,753",,"39,427",,722
    Renter-occupied housing units,,,,,
        Estimate,"9,988",,"20,757",,911
ZCTA5 19132,,,,,
    Occupied housing units,,,,,
        Estimate,"13,447",,"23,380",,625
    Owner-occupied housing units,,,,,
        Estimate,"7,046",,"27,789",,464
    Renter-occupied housing units,,,,,
        Estimate,"6,401",,"19,006",,758
ZCTA5 19133,,,,,
    Occupied housing units,,,,,
        Estimate,"8,676",,"17,016",,535
