Label (Grouping),SEX AND AGE!!Total population,RACE,RACE!!One race!!White,RACE!!One race!!Black or African American,RACE!!One race!!American Indian and Alaska Native,RACE!!One race!!Asian,RACE!!One race!!Native Hawaiian and Other Pacific Islander,RACE!!One race!!Some other race,RACE!!Two or more races,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),HISPANIC OR LATINO AND RACE!!Total housing units
ZCTA5 19102,,,,,,,,,,,
    Estimate,"4,656",,"3,640",234,13,657,0,33,79,680,"3,323"
    Percent,"4,656",,78.20%,5.00%,0.30%,14.10%,0.00%,0.70%,1.70%,14.60%,(X)
ZCTA5 19103,,,,,,,,,,,
    Estimate,"23,154",,"18,579","1,365",64,"2,685",0,106,355,"1,205","16,571"
    Percent,"23,154",,80.20%,5.90%,0.30%,11.60%,0.00%,0.50%,1.50%,5.20%,(X)
ZCTA5 19104,,,,,,,,,,,
    Estimate,"54,718",,"21,324","22,026",71,"8,365",133,757,"2,042","2,539","19,002"
    Percent,"54,718",,39.00%,40.30%,0.10%,15.30%,0.20%,1.40%,3.70%,4.60%,(X)
ZCTA5 19106,,,,,,,,,,,
    Estimate,"11,763",,"9,407","1,089",22,928,0,103,214,661,"6,996"
    Percent,"11,763",,80.00%,9.30%,0.20%,7.90%,0.00%,0.90%,1.80%,5.60%,(X)
ZCTA5 19107,,,,,,,,,,,
    Estimate,"12,727",,"7,874","1,188",25,"3,227",0,127,286,525,"7,667"
    Percent,"12,727",,61.90%,9.30%,0.20%,25.40%,0.00%,1.00%,2.20%,4.10%,(X)
ZCTA5 19111,,,,,,,,,,,
    Estimate,"70,453",,"38,512","16,067",161,"6,606",0,"6,686","2,421","12,596","25,997"
    Percent,"70,453",,54.70%,22.80%,0.20%,9.40%,0.00%,9.50%,3.40%,17.90%,(X)
ZCTA5 19112,,,,,,,,,,,
    Estimate,0,,0,0,0,0,0,0,0,0,0
    Percent,0,,-,-,-,-,-,-,-,-,(X)
ZCTA5 19114,,,,,,,,,,,
    Estimate,"30,677",,"24,677","3,098",51,"1,722",0,713,416,"2,334","13,704"
    Percent,"30,677",,80.40%,10.10%,0.20%,5.60%,0.00%,2.30%,1.40%,7.60%,(X)
ZCTA5 19115,,,,,,,,,,,
    Estimate,"32,661",,"24,851","2,206",169,"4,279",0,767,389,"2,663","14,253"
    Percent,"32,661",,76.10%,6.80%,0.50%,13.10%,0.00%,2.30%,1.20%,8.20%,(X)
ZCTA5 19116,,,,,,,,,,,
    Estimate,"33,842",,"26,159","2,537",34,"4,417",0,255,440,"1,114","13,202"
    Percent,"33,842",,77.30%,7.50%,0.10%,13.10%,0.00%,0.80%,1.30%,3.30%,(X)
ZCTA5 19118,,,,,,,,,,,
    Estimate,"10,123",,"7,856","1,498",24,346,0,42,357,573,"4,568"
    Percent,"10,123",,77.60%,14.80%,0.20%,3.40%,0.00%,0.40%,3.50%,5.70%,(X)
ZCTA5 19119,,,,,,,,,,,
    Estimate,"28,211",,"9,133","16,587",131,687,0,365,"1,308","1,034","13,294"
    Percent,"28,211",,32.40%,58.80%,0.50%,2.40%,0.00%,1.30%,4.60%,3.70%,(X)
ZCTA5 19120,,,,,,,,,,,
    Estimate,"77,534",,"11,967","39,523",737,"10,449",706,"11,710","2,442","22,586","25,186"
    Percent,"77,534",,15.40%,51.00%,1.00%,13.50%,0.90%,15.10%,3.10%,29.10%,(X)
ZCTA5 19121,,,,,,,,,,,
    Estimate,"33,045",,"5,118","25,470",207,"1,060",91,419,680,"1,470","16,808"
    Percent,"33,045",,15.50%,77.10%,0.60%,3.20%,0.30%,1.30%,2.10%,4.40%,(X)
ZCTA5 19122,,,,,,,,,,,
    Estimate,"21,120",,"8,171","7,531",42,"1,028",73,"3,279",996,"6,381","7,096"
    Percent,"21,120",,38.70%,35.70%,0.20%,4.90%,0.30%,15.50%,4.70%,30.20%,(X)
ZCTA5 19123,,,,,,,,,,,
    Estimate,"13,971",,"6,697","5,594",12,804,0,283,581,"1,372","7,349"
    Percent,"13,971",,47.90%,40.00%,0.10%,5.80%,0.00%,2.00%,4.20%,9.80%,(X)
ZCTA5 19124,,,,,,,,,,,
    Estimate,"64,803",,"22,000","25,543",205,"3,474",239,"10,666","2,676","24,604","25,809"
    Percent,"64,803",,33.90%,39.40%,0.30%,5.40%,0.40%,16.50%,4.10%,38.00%,(X)
ZCTA5 19125,,,,,,,,,,,
    Estimate,"22,963",,"17,906","1,074",81,"1,739",0,"1,597",566,"3,060","10,736"
    Percent,"22,963",,78.00%,4.70%,0.40%,7.60%,0.00%,7.00%,2.50%,13.30%,(X)
ZCTA5 19126,,,,,,,,,,,
    Estimate,"16,398",,"1,202","13,899",0,796,0,173,328,423,"6,516"
    Percent,"16,398",,7.30%,84.80%,0.00%,4.90%,0.00%,1.10%,2.00%,2.60%,(X)
ZCTA5 19127,,,,,,,,,,,
    Estimate,"5,889",,"5,194",456,0,68,0,46,125,313,"2,692"
    Percent,"5,889",,88.20%,7.70%,0.00%,1.20%,0.00%,0.80%,2.10%,5.30%,(X)
ZCTA5 19128,,,,,,,,,,,
    Estimate,"37,582",,"32,028","2,846",67,"1,115",26,593,907,"1,461","16,687"
    Percent,"37,582",,85.20%,7.60%,0.20%,3.00%,0.10%,1.60%,2.40%,3.90%,(X)
ZCTA5 19129,,,,,,,,,,,
    Estimate,"11,178",,"5,903","4,313",0,555,6,139,262,466,"5,107"
    Percent,"11,178",,52.80%,38.60%,0.00%,5.00%,0.10%,1.20%,2.30%,4.20%,(X)
ZCTA5 19130,,,,,,,,,,,
    Estimate,"26,546",,"17,865","5,708",56,"1,595",0,726,596,"2,010","13,879"
