Label (Grouping),SEX AND AGE!!Total population,RACE,RACE!!One race!!White,RACE!!One race!!Black or African American,RACE!!One race!!American Indian and Alaska Native,RACE!!One race!!Asian,RACE!!One race!!Native Hawaiian and Other Pacific Islander,RACE!!One race!!Some other race,RACE!!Two or more races,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),HISPANIC OR LATINO AND RACE!!Total housing units
    Percent,"26,546",,67.30%,21.50%,0.20%,6.00%,0.00%,2.70%,2.20%,7.60%,(X)
ZCTA5 19131,,,,,,,,,,,
    Estimate,"41,652",,"6,019","32,723",217,"1,562",31,428,672,"1,287","21,085"
    Percent,"41,652",,14.50%,78.60%,0.50%,3.80%,0.10%,1.00%,1.60%,3.10%,(X)
ZCTA5 19132,,,,,,,,,,,
    Estimate,"36,876",,"1,460","34,238",115,206,0,233,624,"1,161","18,243"
    Percent,"36,876",,4.00%,92.80%,0.30%,0.60%,0.00%,0.60%,1.70%,3.10%,(X)
ZCTA5 19133,,,,,,,,,,,
    Estimate,"26,914",,"5,814","10,624",66,144,0,"9,644",622,"16,191","10,780"
    Percent,"26,914",,21.60%,39.50%,0.20%,0.50%,0.00%,35.80%,2.30%,60.20%,(X)
ZCTA5 19134,,,,,,,,,,,
    Estimate,"62,840",,"34,258","12,149",801,907,47,"12,170","2,508","30,006","23,448"
    Percent,"62,840",,54.50%,19.30%,1.30%,1.40%,0.10%,19.40%,4.00%,47.70%,(X)
ZCTA5 19135,,,,,,,,,,,
    Estimate,"31,868",,"20,898","6,932",25,783,0,"2,349",881,"6,140","13,294"
    Percent,"31,868",,65.60%,21.80%,0.10%,2.50%,0.00%,7.40%,2.80%,19.30%,(X)
ZCTA5 19136,,,,,,,,,,,
    Estimate,"33,663",,"26,031","5,089",47,652,3,929,912,"3,165","13,329"
    Percent,"33,663",,77.30%,15.10%,0.10%,1.90%,0.00%,2.80%,2.70%,9.40%,(X)
ZCTA5 19137,,,,,,,,,,,
    Estimate,"7,853",,"7,473",172,22,93,15,35,43,509,"3,228"
    Percent,"7,853",,95.20%,2.20%,0.30%,1.20%,0.20%,0.40%,0.50%,6.50%,(X)
ZCTA5 19138,,,,,,,,,,,
    Estimate,"34,159",,"1,182","31,832",82,177,0,178,708,731,"13,410"
    Percent,"34,159",,3.50%,93.20%,0.20%,0.50%,0.00%,0.50%,2.10%,2.10%,(X)
ZCTA5 19139,,,,,,,,,,,
    Estimate,"43,534",,"2,458","39,343",51,691,0,375,616,"1,100","20,556"
    Percent,"43,534",,5.60%,90.40%,0.10%,1.60%,0.00%,0.90%,1.40%,2.50%,(X)
ZCTA5 19140,,,,,,,,,,,
    Estimate,"52,508",,"9,047","30,770",572,621,199,"9,641","1,658","20,934","22,201"
    Percent,"52,508",,17.20%,58.60%,1.10%,1.20%,0.40%,18.40%,3.20%,39.90%,(X)
ZCTA5 19141,,,,,,,,,,,
    Estimate,"34,255",,"2,646","28,831",51,989,0,"1,048",690,"1,687","14,201"
    Percent,"34,255",,7.70%,84.20%,0.10%,2.90%,0.00%,3.10%,2.00%,4.90%,(X)
ZCTA5 19142,,,,,,,,,,,
    Estimate,"28,595",,"2,848","22,152",69,"2,769",0,290,467,"1,002","11,411"
    Percent,"28,595",,10.00%,77.50%,0.20%,9.70%,0.00%,1.00%,1.60%,3.50%,(X)
ZCTA5 19143,,,,,,,,,,,
    Estimate,"63,553",,"7,485","52,307",251,"1,119",0,266,"2,125","1,250","30,233"
    Percent,"63,553",,11.80%,82.30%,0.40%,1.80%,0.00%,0.40%,3.30%,2.00%,(X)
ZCTA5 19144,,,,,,,,,,,
    Estimate,"41,617",,"7,264","32,320",94,660,28,380,871,"1,187","21,670"
    Percent,"41,617",,17.50%,77.70%,0.20%,1.60%,0.10%,0.90%,2.10%,2.90%,(X)
ZCTA5 19145,,,,,,,,,,,
    Estimate,"46,758",,"22,825","16,199",31,"6,021",7,332,"1,343","2,789","20,621"
    Percent,"46,758",,48.80%,34.60%,0.10%,12.90%,0.00%,0.70%,2.90%,6.00%,(X)
ZCTA5 19146,,,,,,,,,,,
    Estimate,"37,728",,"16,116","17,996",139,"1,677",85,480,"1,235","1,354","19,244"
    Percent,"37,728",,42.70%,47.70%,0.40%,4.40%,0.20%,1.30%,3.30%,3.60%,(X)
ZCTA5 19147,,,,,,,,,,,
    Estimate,"37,967",,"27,673","3,461",167,"5,064",28,479,"1,095","4,086","18,592"
    Percent,"37,967",,72.90%,9.10%,0.40%,13.30%,0.10%,1.30%,2.90%,10.80%,(X)
ZCTA5 19148,,,,,,,,,,,
    Estimate,"53,979",,"34,847","4,657",141,"11,441",0,"1,623","1,270","5,790","21,748"
    Percent,"53,979",,64.60%,8.60%,0.30%,21.20%,0.00%,3.00%,2.40%,10.70%,(X)
ZCTA5 19149,,,,,,,,,,,
    Estimate,"55,077",,"25,840","14,623",112,"8,424",17,"4,182","1,879","9,924","20,267"
    Percent,"55,077",,46.90%,26.60%,0.20%,15.30%,0.00%,7.60%,3.40%,18.00%,(X)
ZCTA5 19150,,,,,,,,,,,
    Estimate,"25,031",,562,"23,839",21,78,12,91,428,300,"10,636"
    Percent,"25,031",,2.20%,95.20%,0.10%,0.30%,0.00%,0.40%,1.70%,1.20%,(X)
ZCTA5 19151,,,,,,,,,,,
    Estimate,"33,982",,"3,663","29,134",80,326,22,166,591,"1,095","13,266"
    Percent,"33,982",,10.80%,85.70%,0.20%,1.00%,0.10%,0.50%,1.70%,3.20%,(X)
ZCTA5 19152,,,,,,,,,,,
    Estimate,"34,731",,"24,442","4,230",0,"3,724",0,"1,248","1,087","3,162","13,499"
    Percent,"34,731",,70.40%,12.20%,0.00%,10.70%,0.00%,3.60%,3.10%,9.10%,(X)
ZCTA5 19153,,,,,,,,,,,
    Estimate,"11,925",,"2,151","8,932",0,526,0,89,227,578,"5,725"
    Percent,"11,925",,18.00%,74.90%,0.00%,4.40%,0.00%,0.70%,1.90%,4.80%,(X)
ZCTA5 19154,,,,,,,,,,,
    Estimate,"34,056",,"29,030","2,506",0,"1,497",106,427,490,"2,223","13,127"
    Percent,"34,056",,85.20%,7.40%,0.00%,4.40%,0.30%,1.30%,1.40%,6.50%,(X)
