Label (Grouping),Occupied housing units,HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS),HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Median household income (dollars),MONTHLY HOUSING COSTS,MONTHLY HOUSING COSTS!!Median (dollars)
ZCTA5 19102,,,,,
    Occupied housing units,,,,,
        Estimate,"2,308",,"71,404",,"1,562"
    Owner-occupied housing units,,,,,
        Estimate,457,,"76,789",,"1,528"
    Renter-occupied housing units,,,,,
        Estimate,"1,851",,"67,757",,"1,560"
ZCTA5 19103,,,,,
    Occupied housing units,,,,,
        Estimate,"14,914",,"61,761",,"1,431"
    Owner-occupied housing units,,,,,
        Estimate,"5,103",,"96,569",,"1,813"
    Renter-occupied housing units,,,,,
        Estimate,"9,811",,"48,312",,"1,344"
ZCTA5 19104,,,,,
    Occupied housing units,,,,,
        Estimate,"15,667",,"19,465",,793
    Owner-occupied housing units,,,,,
        Estimate,"3,346",,"41,923",,635
    Renter-occupied housing units,,,,,
        Estimate,"12,321",,"14,822",,811
ZCTA5 19106,,,,,
    Occupied housing units,,,,,
        Estimate,"5,942",,"89,588",,"1,672"
    Owner-occupied housing units,,,,,
        Estimate,"2,726",,"127,361",,"2,033"
    Renter-occupied housing units,,,,,
        Estimate,"3,216",,"76,004",,"1,568"
ZCTA5 19107,,,,,
    Occupied housing units,,,,,
        Estimate,"6,658",,"43,649",,"1,092"
    Owner-occupied housing units,,,,,
        Estimate,"1,308",,"80,946",,"1,711"
    Renter-occupied housing units,,,,,
        Estimate,"5,350",,"37,399",,"1,043"
ZCTA5 19111,,,,,
    Occupied housing units,,,,,
        Estimate,"23,776",,"45,209",,984
    Owner-occupied housing units,,,,,
        Estimate,"13,803",,"58,475",,"1,165"
    Renter-occupied housing units,,,,,
        Estimate,"9,973",,"32,901",,880
ZCTA5 19112,,,,,
    Occupied housing units,,,,,
        Estimate,0,,-,,-
    Owner-occupied housing units,,,,,
        Estimate,0,,-,,-
    Renter-occupied housing units,,,,,
        Estimate,0,,-,,-
ZCTA5 19114,,,,,
    Occupied housing units,,,,,
        Estimate,"12,772",,"51,798",,972
    Owner-occupied housing units,,,,,
        Estimate,"7,976",,"64,620",,"1,052"
    Renter-occupied housing units,,,,,
        Estimate,"4,796",,"37,362",,944
ZCTA5 19115,,,,,
    Occupied housing units,,,,,
        Estimate,"13,420",,"46,120",,929
    Owner-occupied housing units,,,,,
        Estimate,"8,229",,"68,317",,992
    Renter-occupied housing units,,,,,
        Estimate,"5,191",,"27,074",,899
ZCTA5 19116,,,,,
    Occupied housing units,,,,,
        Estimate,"12,360",,"50,849",,966
    Owner-occupied housing units,,,,,
        Estimate,"7,670",,"72,846",,"1,296"
    Renter-occupied housing units,,,,,
        Estimate,"4,690",,"26,986",,873
ZCTA5 19118,,,,,
    Occupied housing units,,,,,
        Estimate,"4,074",,"81,542",,"1,366"
    Owner-occupied housing units,,,,,
        Estimate,"2,040",,"133,607",,"2,064"
    Renter-occupied housing units,,,,,
        Estimate,"2,034",,"52,917",,"1,159"
ZCTA5 19119,,,,,
    Occupied housing units,,,,,
        Estimate,"11,863",,"59,044",,"1,015"
    Owner-occupied housing units,,,,,
        Estimate,"7,495",,"82,264",,"1,295"
    Renter-occupied housing units,,,,,
        Estimate,"4,368",,"30,619",,862
ZCTA5 19120,,,,,
    Occupied housing units,,,,,
        Estimate,"23,155",,"33,417",,861
    Owner-occupied housing units,,,,,
        Estimate,"13,920",,"42,875",,853
    Renter-occupied housing units,,,,,
        Estimate,"9,235",,"23,330",,868
ZCTA5 19121,,,,,
    Occupied housing units,,,,,
        Estimate,"12,659",,"15,935",,582
    Owner-occupied housing units,,,,,
        Estimate,"4,001",,"26,663",,532
    Renter-occupied housing units,,,,,
        Estimate,"8,658",,"11,706",,602
ZCTA5 19122,,,,,
    Occupied housing units,,,,,
        Estimate,"6,150",,"21,929",,645
    Owner-occupied housing units,,,,,
        Estimate,"2,583",,"40,727",,594
    Renter-occupied housing units,,,,,
        Estimate,"3,567",,"16,434",,668
ZCTA5 19123,,,,,
    Occupied housing units,,,,,
        Estimate,"5,588",,"46,660",,"1,063"
    Owner-occupied housing units,,,,,
        Estimate,"1,937",,"87,209",,"1,467"
    Renter-occupied housing units,,,,,
        Estimate,"3,651",,"33,085",,860
ZCTA5 19124,,,,,
    Occupied housing units,,,,,
        Estimate,"21,644",,"28,996",,821
    Owner-occupied housing units,,,,,
        Estimate,"12,385",,"36,357",,826
    Renter-occupied housing units,,,,,
        Estimate,"9,259",,"20,927",,817
ZCTA5 19125,,,,,
    Occupied housing units,,,,,
        Estimate,"9,092",,"37,369",,844
    Owner-occupied housing units,,,,,
        Estimate,"5,622",,"41,098",,765
    Renter-occupied housing units,,,,,
        Estimate,"3,470",,"32,872",,885
ZCTA5 19126,,,,,
    Occupied housing units,,,,,
        Estimate,"6,105",,"41,255",,853
    Owner-occupied housing units,,,,,
        Estimate,"3,713",,"50,801",,964
    Renter-occupied housing units,,,,,
        Estimate,"2,392",,"21,290",,800
ZCTA5 19127,,,,,
    Occupied housing units,,,,,
        Estimate,"2,370",,"61,300",,"1,148"
    Owner-occupied housing units,,,,,
        Estimate,971,,"63,350",,991
    Renter-occupied housing units,,,,,
        Estimate,"1,399",,"60,450",,"1,201"
ZCTA5 19128,,,,,
    Occupied housing units,,,,,
        Estimate,"14,950",,"63,353",,"1,217"
    Owner-occupied housing units,,,,,
        Estimate,"9,202",,"75,726",,"1,347"
    Renter-occupied housing units,,,,,
        Estimate,"5,748",,"49,115",,"1,119"
ZCTA5 19129,,,,,
    Occupied housing units,,,,,
        Estimate,"4,597",,"50,180",,"1,024"
    Owner-occupied housing units,,,,,
        Estimate,"2,604",,"68,558",,"1,025"
    Renter-occupied housing units,,,,,
        Estimate,"1,993",,"36,676",,"1,023"
ZCTA5 19130,,,,,
    Occupied housing units,,,,,
        Estimate,"12,122",,"60,211",,"1,315"
    Owner-occupied housing units,,,,,
        Estimate,"5,331",,"91,806",,"1,649"
    Renter-occupied housing units,,,,,
        Estimate,"6,791",,"47,593",,"1,152"
ZCTA5 19131,,,,,
    Occupied housing units,,,,,
        Estimate,"18,171",,"29,899",,845
    Owner-occupied housing units,,,,,
        Estimate,"8,695",,"40,527",,747
    Renter-occupied housing units,,,,,
        Estimate,"9,476",,"21,257",,890
ZCTA5 19132,,,,,
    Occupied housing units,,,,,
        Estimate,"13,315",,"22,456",,547
    Owner-occupied housing units,,,,,
        Estimate,"7,254",,"26,900",,390
    Renter-occupied housing units,,,,,
        Estimate,"6,061",,"19,554",,729
ZCTA5 19133,,,,,
    Occupied housing units,,,,,
        Estimate,"8,611",,"14,297",,481
    Owner-occupied housing units,,,,,
