Label (Grouping),Occupied housing units,HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Median household income (dollars),MONTHLY HOUSING COSTS,MONTHLY HOUSING COSTS!!Median (dollars)
ZCTA5 19102,,,,,
    Occupied housing units,,,,,
        Estimate,"2,935",,"97,839",,"1,991"
    Owner-occupied housing units,,,,,
        Estimate,715,,"82,371",,"1,811"
    Renter-occupied housing units,,,,,
        Estimate,"2,220",,"99,032",,"2,014"
ZCTA5 19103,,,,,
    Occupied housing units,,,,,
        Estimate,"14,274",,"70,746",,"1,591"
    Owner-occupied housing units,,,,,
        Estimate,"4,625",,"112,589",,"1,774"
    Renter-occupied housing units,,,,,
        Estimate,"9,649",,"55,895",,"1,549"
ZCTA5 19104,,,,,
    Occupied housing units,,,,,
        Estimate,"15,559",,"21,773",,876
    Owner-occupied housing units,,,,,
        Estimate,"2,963",,"42,069",,598
    Renter-occupied housing units,,,,,
        Estimate,"12,596",,"17,669",,910
ZCTA5 19106,,,,,
    Occupied housing units,,,,,
        Estimate,"6,260",,"101,138",,"1,726"
    Owner-occupied housing units,,,,,
        Estimate,"2,870",,"121,159",,"1,990"
    Renter-occupied housing units,,,,,
        Estimate,"3,390",,"82,765",,"1,680"
ZCTA5 19107,,,,,
    Occupied housing units,,,,,
        Estimate,"6,869",,"50,701",,"1,231"
    Owner-occupied housing units,,,,,
        Estimate,"1,399",,"107,344",,"1,461"
    Renter-occupied housing units,,,,,
        Estimate,"5,470",,"42,692",,"1,197"
ZCTA5 19111,,,,,
    Occupied housing units,,,,,
        Estimate,"23,998",,"44,737",,959
    Owner-occupied housing units,,,,,
        Estimate,"13,673",,"61,936",,"1,051"
    Renter-occupied housing units,,,,,
        Estimate,"10,325",,"31,262",,914
ZCTA5 19112,,,,,
    Occupied housing units,,,,,
        Estimate,0,,-,,-
    Owner-occupied housing units,,,,,
        Estimate,0,,-,,-
    Renter-occupied housing units,,,,,
        Estimate,0,,-,,-
ZCTA5 19114,,,,,
    Occupied housing units,,,,,
        Estimate,"12,709",,"54,151",,"1,040"
    Owner-occupied housing units,,,,,
        Estimate,"7,780",,"66,862",,"1,056"
    Renter-occupied housing units,,,,,
        Estimate,"4,929",,"38,243",,"1,033"
ZCTA5 19115,,,,,
    Occupied housing units,,,,,
        Estimate,"13,548",,"47,391",,967
    Owner-occupied housing units,,,,,
        Estimate,"7,738",,"70,123",,"1,048"
    Renter-occupied housing units,,,,,
        Estimate,"5,810",,"31,748",,944
ZCTA5 19116,,,,,
    Occupied housing units,,,,,
        Estimate,"12,714",,"46,325",,967
    Owner-occupied housing units,,,,,
        Estimate,"7,360",,"66,841",,"1,185"
    Renter-occupied housing units,,,,,
        Estimate,"5,354",,"26,314",,901
ZCTA5 19118,,,,,
    Occupied housing units,,,,,
        Estimate,"4,319",,"79,602",,"1,590"
    Owner-occupied housing units,,,,,
        Estimate,"2,000",,"140,061",,"2,119"
    Renter-occupied housing units,,,,,
        Estimate,"2,319",,"55,612",,"1,420"
ZCTA5 19119,,,,,
    Occupied housing units,,,,,
        Estimate,"11,730",,"57,560",,"1,086"
    Owner-occupied housing units,,,,,
        Estimate,"7,677",,"78,298",,"1,239"
    Renter-occupied housing units,,,,,
        Estimate,"4,053",,"36,957",,967
ZCTA5 19120,,,,,
    Occupied housing units,,,,,
        Estimate,"23,069",,"34,720",,893
    Owner-occupied housing units,,,,,
        Estimate,"13,270",,"44,282",,855
    Renter-occupied housing units,,,,,
        Estimate,"9,799",,"24,168",,936
ZCTA5 19121,,,,,
    Occupied housing units,,,,,
        Estimate,"12,075",,"18,877",,670
    Owner-occupied housing units,,,,,
        Estimate,"3,665",,"32,135",,551
    Renter-occupied housing units,,,,,
        Estimate,"8,410",,"14,204",,726
ZCTA5 19122,,,,,
    Occupied housing units,,,,,
        Estimate,"6,087",,"33,448",,720
    Owner-occupied housing units,,,,,
        Estimate,"2,498",,"51,653",,652
    Renter-occupied housing units,,,,,
        Estimate,"3,589",,"23,782",,751
ZCTA5 19123,,,,,
    Occupied housing units,,,,,
        Estimate,"6,757",,"57,793",,"1,257"
    Owner-occupied housing units,,,,,
        Estimate,"2,061",,"93,464",,"1,488"
    Renter-occupied housing units,,,,,
        Estimate,"4,696",,"42,155",,"1,171"
ZCTA5 19124,,,,,
    Occupied housing units,,,,,
        Estimate,"22,518",,"30,276",,872
    Owner-occupied housing units,,,,,
        Estimate,"11,489",,"41,874",,869
    Renter-occupied housing units,,,,,
        Estimate,"11,029",,"21,824",,874
ZCTA5 19125,,,,,
    Occupied housing units,,,,,
        Estimate,"9,368",,"52,500",,"1,003"
    Owner-occupied housing units,,,,,
        Estimate,"5,695",,"61,701",,"1,020"
    Renter-occupied housing units,,,,,
        Estimate,"3,673",,"45,773",,989
ZCTA5 19126,,,,,
    Occupied housing units,,,,,
        Estimate,"5,579",,"35,172",,951
    Owner-occupied housing units,,,,,
        Estimate,"3,352",,"57,107",,"1,072"
    Renter-occupied housing units,,,,,
        Estimate,"2,227",,"18,638",,884
ZCTA5 19127,,,,,
    Occupied housing units,,,,,
        Estimate,"2,378",,"70,568",,"1,356"
    Owner-occupied housing units,,,,,
        Estimate,991,,"84,653",,"1,343"
    Renter-occupied housing units,,,,,
        Estimate,"1,387",,"62,518",,"1,360"
ZCTA5 19128,,,,,
    Occupied housing units,,,,,
        Estimate,"15,339",,"64,038",,"1,255"
    Owner-occupied housing units,,,,,
        Estimate,"9,076",,"81,258",,"1,323"
    Renter-occupied housing units,,,,,
        Estimate,"6,263",,"50,119",,"1,204"
ZCTA5 19129,,,,,
    Occupied housing units,,,,,
        Estimate,"4,620",,"47,945",,"1,111"
    Owner-occupied housing units,,,,,
        Estimate,"2,401",,"55,053",,975
    Renter-occupied housing units,,,,,
        Estimate,"2,219",,"32,903",,"1,168"
ZCTA5 19130,,,,,
    Occupied housing units,,,,,
        Estimate,"12,586",,"71,263",,"1,395"
    Owner-occupied housing units,,,,,
        Estimate,"5,154",,"100,408",,"1,666"
    Renter-occupied housing units,,,,,
        Estimate,"7,432",,"54,890",,"1,285"
ZCTA5 19131,,,,,
    Occupied housing units,,,,,
        Estimate,"17,450",,"31,113",,875
    Owner-occupied housing units,,,,,
        Estimate,"7,865",,"41,630",,747
    Renter-occupied housing units,,,,,
        Estimate,"9,585",,"22,476",,923
ZCTA5 19132,,,,,
    Occupied housing units,,,,,
        Estimate,"13,439",,"22,316",,636
    Owner-occupied housing units,,,,,
        Estimate,"6,809",,"27,408",,459
    Renter-occupied housing units,,,,,
        Estimate,"6,630",,"18,156",,788
ZCTA5 19133,,,,,
    Occupied housing units,,,,,
